Figure,id,mean,error,n,variable
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1984,1216.374269005848,192.98245614035068,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1990,1397.6608187134507,11.695906432747961,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1991,1695.9064327485385,11.695906432748416,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1992,1842.105263157895,5.847953216374208,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1993,912.2807017543863,11.695906432748416,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1997,900.5847953216374,17.54385964912308,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,1999,555.5555555555558,409.35672514619887,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2000,263.1578947368422,152.046783625731,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2001,298.24561403508767,251.4619883040939,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2002,426.90058479532183,116.95906432748552,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2003,467.83625730994174,228.07017543859638,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2004,421.0526315789474,239.76608187134502,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2005,356.72514619883066,619.8830409356726,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2003 (White),64.32748538011708,64.32748538011697,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2004 (White),181.2865497076026,134.50292397660814,NA,Density (g AFDW/M^2)
108_Buttgeretal_HelgolandMarineResearch_2008_Fig2A.jpg,2005 (White),222.22222222222229,152.04678362573122,NA,Density (g AFDW/M^2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1984 (Blue Mussel),1380.1916932907352,255.59105431309945,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1990 (Blue Mussel),3220.4472843450485,76.67731629392983,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1991 (Blue Mussel),2019.1693290734838,613.4185303514378,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1993 (Blue Mussel),2760.3833865814704,25.559105431309945,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1997 (Blue Mussel),6287.539936102236,0,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1998 (Blue Mussel),2351.437699680512,0,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,1999 (Blue Mussel),1431.309904153355,792.3322683706065,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2000 (Blue Mussel),1124.6006389776367,587.8594249201278,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2001 (Blue Mussel),1124.6006389776367,817.8913738019173,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2002 (Blue Mussel),1533.5463258785949,357.8274760383383,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2003 (Blue Mussel),1610.2236421725247,562.3003194888188,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2003 (Pacific Oyster),306.70926517571934,306.70926517571934,NA,Density (n/m2)
109_Buttgeretal_HelgolandMarineResearch_2008_Fig2B.jpg,2004 (Blue Mussel),1124.6006389776367,511.182108626198,NA,Density (n/m2)
